FL-POINT  Copy;FL-POINT  Scale;FL-POINT  Add;FL-POINT  Triad;FL-POINT  AVERAGE

3497.55 MB/s;3718.28 MB/s;3368.54 MB/s;3515.28 MB/s;3524.92 MB/s
3499.93 MB/s;3589.07 MB/s;3384.35 MB/s;3321.40 MB/s;3448.69 MB/s
3076.58 MB/s;3185.13 MB/s;3030.77 MB/s;3052.73 MB/s;3086.30 MB/s
3703.91 MB/s;3471.05 MB/s;2695.30 MB/s;3048.47 MB/s;3229.68 MB/s
3410.91 MB/s;3699.99 MB/s;3314.65 MB/s;3485.75 MB/s;3477.82 MB/s
3494.53 MB/s;3481.34 MB/s;2782.35 MB/s;3140.59 MB/s;3224.70 MB/s
3075.15 MB/s;2939.33 MB/s;2329.05 MB/s;3545.96 MB/s;2972.37 MB/s
3583.65 MB/s;3701.21 MB/s;3606.98 MB/s;3797.60 MB/s;3672.36 MB/s
3604.51 MB/s;3678.12 MB/s;3393.08 MB/s;3387.40 MB/s;3515.78 MB/s
3576.10 MB/s;3621.29 MB/s;3397.60 MB/s;3423.81 MB/s;3504.70 MB/s
3242.63 MB/s;3391.53 MB/s;3786.60 MB/s;3515.42 MB/s;3484.04 MB/s
3302.28 MB/s;3341.10 MB/s;3788.69 MB/s;3832.05 MB/s;3566.03 MB/s
3430.65 MB/s;3355.44 MB/s;3634.82 MB/s;3741.17 MB/s;3540.52 MB/s
3479.74 MB/s;3402.84 MB/s;3232.57 MB/s;3452.87 MB/s;3392.00 MB/s
3568.56 MB/s;3593.15 MB/s;3327.35 MB/s;3517.14 MB/s;3501.55 MB/s
3423.31 MB/s;3311.67 MB/s;3791.38 MB/s;3446.05 MB/s;3493.10 MB/s
3389.85 MB/s;3383.03 MB/s;3785.49 MB/s;3823.85 MB/s;3595.56 MB/s
3298.95 MB/s;3295.68 MB/s;3822.76 MB/s;3735.43 MB/s;3538.20 MB/s
3468.38 MB/s;3414.22 MB/s;3396.70 MB/s;3393.52 MB/s;3418.21 MB/s
3537.90 MB/s;3685.25 MB/s;3371.20 MB/s;3421.60 MB/s;3503.99 MB/s
3628.24 MB/s;3656.85 MB/s;3425.80 MB/s;3780.85 MB/s;3622.93 MB/s
3689.92 MB/s;3671.28 MB/s;3398.13 MB/s;3389.92 MB/s;3537.31 MB/s
3514.19 MB/s;3575.61 MB/s;3401.15 MB/s;3651.98 MB/s;3535.73 MB/s
3616.75 MB/s;3675.41 MB/s;3384.24 MB/s;3396.01 MB/s;3518.10 MB/s
3458.71 MB/s;3628.36 MB/s;3517.50 MB/s;3401.37 MB/s;3501.48 MB/s
3445.70 MB/s;3611.72 MB/s;3398.21 MB/s;3810.80 MB/s;3566.61 MB/s
3503.69 MB/s;3222.71 MB/s;3802.77 MB/s;3639.45 MB/s;3542.15 MB/s
3666.45 MB/s;3624.67 MB/s;3541.46 MB/s;3741.72 MB/s;3643.58 MB/s
3383.49 MB/s;3329.30 MB/s;3826.02 MB/s;3695.89 MB/s;3558.67 MB/s
3658.90 MB/s;3538.08 MB/s;3399.84 MB/s;3826.90 MB/s;3605.93 MB/s